file	result	axioms	conjencture	processed	note	limit:1000000s
DTS/Alligator/Test/dne.test	True	 (q=>((p=>($false))=>($false))),(p=>r),(q)	(r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:(u6:u3)→(u7:(u8:u2)→⊥)→⊥, u9:(u10:u2)→u1, u11:u3 ] =>u1		
DTS/Alligator/Test/dni.test	True		(p=>~(~(p)))	[  u0:T, u1:type, u2:type ] =>(u3:u1)→¬¬u1		
DTS/Alligator/Test/dni3.test	True	 (p)	((p=>($false))=>($false))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:u3 ] =>(u6:(u7:u3)→⊥)→⊥		
DTS/Alligator/Test/dni2.test	True		(p=>((p=>($false))=>($false)))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>(u5:u3)→(u6:(u7:u3)→⊥)→⊥		
DTS/Alligator/Test/transitive.test	True	 (p=>q),(q=>r),(p)	(r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:(u6:u3)→u2, u7:(u8:u2)→u1, u9:u3 ] =>u1		
DTS/Alligator/Test/efq.test	True	 (($false))	(p)	[  u0:T, u1:type, u2:type, u3:⊥ ] =>u1		
DTS/Alligator/Test/lem.test	True		(p|~(p))	[  u0:T, u1:type, u2:type ] =>(u3:¬u1)×¬¬u1		
DTS/Alligator/Test/dni4.test	True		(p=>((~(~(p)))=>p))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>(u5:u3)→(u6:¬¬u3)→u3		
DTS/Alligator/Test/transitive2.test	True	 (p=>q),(q=>r)	(p=>r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:(u6:u3)→u2, u7:(u8:u2)→u1 ] =>(u9:u3)→u1		
DTS/Alligator/Test/transitive_7_18.test	True		((p=>q)=>((q=>r)=>(p=>r)))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>(u5:(u6:u3)→u2)→(u7:(u8:u2)→u1)→(u9:u3)→u1		
DTS/Alligator/Test/lem_all.test	True		(![p]:(p|~(p)))	[  u0:T, u1:type ] =>(u2:type)→¬(u3:¬u2)×¬¬u2		
DTS/Alligator/Test/lem_exist.test	True		(?[p]:(p|~(p)))	[  u0:T, u1:type ] =>(u2:type)×¬(u3:¬u2)×¬¬u2		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN500+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN514+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN904-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN910-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN528+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN045-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN737-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN051-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN079-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN064+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN284-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN290-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN070+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN058+1.p	False			error in process error in process error in process error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN521-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN919+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN247-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN253-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN535-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN925+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN931+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN143-10.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN509-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN496-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN482-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN455-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN333-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN327-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN441-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN469-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN474+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN986-10.006.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN694-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN680-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN858-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN460+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN448+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN098-1.002.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN870-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN864-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN131-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN657-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN643-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN125-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN119-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN118-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN642-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN124-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN130-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN656-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN865-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN449+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN871-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN859-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN681-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN461+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN475+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN695-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN468-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN326-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN440-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN454-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN332-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN483-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN497-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN930+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN508-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN924+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN252-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN534-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN520-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN246-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN918+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN059+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN291-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN065+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN285-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN078-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN736-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN050-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN044-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN911-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN529+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN905-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN515+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN501+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN517+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN503+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN913-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN907-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN052-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN734-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN720-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN046-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN708-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN073+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN293-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN287-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN067+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN729+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN536-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN250-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN244-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN522-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN932+1.p	True		(?[X]:c<=>c)	[  u0:T, u1:type, u2:type ] =>(u3:type)×(u4:(u5:u1)→u1)×(u6:u1)→u1		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN926+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN278-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN481-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN495-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN442-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN324-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN330-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN456-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN318-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN463+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN683-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN697-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN477+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN867-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN339+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN873-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN126-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN898-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN640-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN654-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN132-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN668-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN488+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN669-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN489+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN655-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN133-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN127-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN641-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN899-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN872-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN338+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN866-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN696-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN476+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN462+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN682-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN319-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN331-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN457-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN443-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN325-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN494-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN480-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN279-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN927+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN933+1.p	True		(![X]:c<=>c)	[  u0:T, u1:type, u2:type ] =>(u3:type)→(u4:(u5:u1)→u1)×(u6:u1)→u1		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN245-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN523-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN537-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN251-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN728+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN286-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN066+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN072+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN292-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN709-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN721-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN047-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN053-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN735-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN906-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN912-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN502+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN084-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN516+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN916-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN902-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN512+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN080-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN506+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN719-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN731-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN057-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN296-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN076+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN062+1.p	False			error in process error in process error in process error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN282-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN269-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN937+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN923+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN255-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN533-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN527-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN241-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN484-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN490-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN309-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN321-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN447-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN090-1.008.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN453-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN335-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN862-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN328+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN393+1.003.p	False		(((p1<=>p2)<=>p3)<=>(p1<=>(p2<=>p3)))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>(u5:(u6:(u7:(u8:(u9:(u10:u3)→u2)×(u11:u2)→u3)→u1)×(u12:u1)→(u13:(u14:u3)→u2)×(u15:u2)→u3)→(u16:(u17:u3)→(u18:(u19:u2)→u1)×(u20:u1)→u2)×(u21:(u22:(u23:u2)→u1)×(u24:u1)→u2)→u3)×(u25:(u26:(u27:u3)→(u28:(u29:u2)→u1)×(u30:u1)→u2)×(u31:(u32:(u33:u2)→u1)×(u34:u1)→u2)→u3)→(u35:(u36:(u37:(u38:u3)→u2)×(u39:u2)→u3)→u1)×(u40:u1)→(u41:(u42:u3)→u2)×(u43:u2)→u3		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN876-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN686-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN466+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN472+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN692-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN679-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN009-2.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN499+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN645-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN123-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN137-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN889-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN651-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN136-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN650-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN888-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN644-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN122-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN678-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN498+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN473+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN315+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN693-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN687-1.p					Parser Error	
